sku;virtual;downloadable;rating_count;average_rating;total_sales;tax_status;tax_class;post_author;post_date;post_date_gmt;post_content;product_type;post_title;post_excerpt;post_status;comment_status;ping_status;post_password;post_name;post_modified;post_modified_gmt;post_content_filtered;post_parent;guid;menu_order;post_type;post_mime_type;comment_count
11862;0;0;0;0;3;;;2;2018-02-12 13:46:23;2018-02-12 12:46:23;;Vin;Gilles Robin Hermitage Rouge 2012;;publish;closed;closed;;gilles-robin-hermitage-2012;2019-01-31 12:12:56;2019-01-31 11:12:56;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/gilles-robin-hermitage-2012.jpg;0;attachment;image/jpeg;0
16057;0;0;0;0;5;;;2;2018-04-17 15:29:17;2018-04-17 13:29:17;;Vin;Domaine Pellé Sancerre Rouge La Croix Au Garde 2017;;publish;closed;closed;;pelle-sancerre-rouge-la-croix-au-garde-2017;2020-07-07 10:05:02;2020-07-07 08:05:02;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/pelle-sancerre-rouge-la-croix-au-garde-2017.jpg;0;attachment;image/jpeg;0
14692;0;0;0;0;5;taxable;;2;2019-03-19 10:06:47;2019-03-19 09:06:47;;Vin;Château Fonréaud Bordeaux Blanc Le Cygne 2016;<div>Grâce à la complémentarité des 3 cépages qui le constituent, Le Cygne est un vin complet, élégant et aérien, offrant une riche palette aromatique fruitée et florale, une rondeur en bouche avec des saveurs suaves.</div>;publish;closed;closed;;fonreaud-bordeaux-blanc-le-cygne-2016;2020-04-25 21:40:31;2020-04-25 19:40:31;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=5794";0;product;;0
16295;0;0;0;0;14;;;2;2018-02-15 14:05:06;2018-02-15 13:05:06;;Vin;Moulin de Gassac IGP Pays d'Hérault Guilhem Rosé 2019;;publish;closed;closed;;moulin-de-gassac-igp-pays-dherault-guilhem-rose-2019;2020-08-27 18:55:03;2020-08-27 16:55:03;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/moulin-de-gassac-igp-pays-dherault-guilhem-rose-2019.jpg;0;attachment;image/jpeg;0
15328;0;0;0;0;2;taxable;;2;2019-03-27 18:05:09;2019-03-27 17:05:09;;Vin;Agnès Levet Côte Rôtie Maestria 2017;"<span style=""float: none; background-color: transparent; color: #000000; font-family: 'Open Sans',Arial,Verdana,sans-serif; font-size: 15px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; list-style-type: none; text-align: center; text-decoration: none; text-indent: 0px;"">C’est un vin élégant et délicat caractéristique du lieu-dit La Landonne, aux arômes fruités complété par des notes florales de violette et soutenu par le velours des tanins très fins et fermes.</span>

&nbsp;";publish;closed;closed;;agnes-levet-cote-rotie-maestria-2017;2020-07-25 15:45:02;2020-07-25 13:45:02;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=5827";0;product;;0
15471;0;0;0;0;4;;;2;2019-03-19 15:58:25;2019-03-19 14:58:25;;Vin;Château d'Arcole Saint-Emilion Grand Cru 2016;;publish;closed;closed;;arcole-saint-emilion-grand-cru-2016;2020-06-18 10:45:05;2020-06-18 08:45:05;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/arcole-saint-emilion-grand-cru-2016.jpg;0;attachment;image/jpeg;0
16515;0;0;0;0;10;taxable;;2;2018-06-02 09:31:31;2018-06-02 07:31:31;;Vin;Château Turcaud Bordeaux Rouge Cuvée Majeure 2018;"<div id=""wrapper"">
<div id=""container-wrapper"">
<div id=""content-wrapper"">
<div class=""contenu""><section id=""vue"">
<div class=""wysiwyg"">

<span style=""float: none; background-color: transparent; color: #454545; font-family: 'Helvetica Neue',Helvetica,Roboto,Arial,sans-serif; font-size: 16px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; line-height: 25.6px; text-align: left; text-decoration: none; text-indent: 0px;"">Fruit rouge bien mûr, un côté épicé, fumé et grillé, lié au terroir et à l’élevage en barriques.</span> <span style=""float: none; background-color: transparent; color: #454545; font-family: 'Helvetica Neue',Helvetica,Roboto,Arial,sans-serif; font-size: 16px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; line-height: 25.6px; text-align: left; text-decoration: none; text-indent: 0px;"">Riche, concentrée, charnue et mûre, avec de la fraîcheur. L’élevage en barriques permet aux tanins de bien se fondre et apporte de la rondeur.</span>

</div>
</section></div>
</div>
</div>
</div>
<footer>
<div id=""footer-wrapper"">
<div id=""footer-container""></div>
</div>
</footer>";publish;closed;closed;;chateau-turcaud-bordeaux-rouge-cuvee-majeure-2018;2020-08-27 10:11:12;2020-08-27 08:11:12;;0;"https://www.bottle-neck.fr/?post_type=product&#038;p=4964";0;product;;0
16246;0;0;0;0;10;;;2;2018-02-28 14:46:15;2018-02-28 13:46:15;;Vin;Domaine de La Tour Du Bon Bandol Blanc 2019;;publish;closed;closed;;la-tour-du-bon-bandol-blanc-2019;2020-08-26 15:55:03;2020-08-26 13:55:03;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/la-tour-du-bon-bandol-blanc-2019.jpg;0;attachment;image/jpeg;0
;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
13572;0;0;0;0;17;;;2;2019-03-19 11:33:39;2019-03-19 10:33:39;;Vin;Château Tour Haut-Caussan Médoc 2015;;publish;closed;closed;;tour-haut-caussan-medoc-2015;2020-08-26 16:55:02;2020-08-26 14:55:02;;0;https://www.bottle-neck.fr/wp-content/uploads/2020/03/tour-haut-caussan-medoc-2015.jpg;0;attachment;image/jpeg;0
